MAP: att48 || SIGMA: 10000 || ITERATION: 10 || AVG COST: 41506.4931993209 || MIN COST: 35775.319329585946 || GAP: 290.53907790102465
MAP: att48 || SIGMA: 10000 || ITERATION: 20 || AVG COST: 41101.66649152213 || MIN COST: 33212.36762371516 || GAP: 286.73001967935767
MAP: att48 || SIGMA: 5000 || ITERATION: 10 || AVG COST: 43757.24450739879 || MIN COST: 33757.45633850624 || GAP: 311.7166400771433
MAP: att48 || SIGMA: 5000 || ITERATION: 20 || AVG COST: 39590.47776795493 || MIN COST: 31691.90716524296 || GAP: 272.5110817459064
MAP: att48 || SIGMA: 5000 || ITERATION: 30 || AVG COST: 40680.366693934295 || MIN COST: 33230.05366265678 || GAP: 282.7659643764988
MAP: att48 || SIGMA: 1000 || ITERATION: 10 || AVG COST: 39822.29204739944 || MIN COST: 33553.61411686406 || GAP: 274.69224734098077
MAP: att48 || SIGMA: 1000 || ITERATION: 20 || AVG COST: 43633.1338604189 || MIN COST: 31785.99859846151 || GAP: 310.54886959370435
MAP: att48 || SIGMA: 1000 || ITERATION: 30 || AVG COST: 40161.988069775645 || MIN COST: 33079.93688727857 || GAP: 277.8884839083143
MAP: att48 || SIGMA: 500 || ITERATION: 10 || AVG COST: 43497.57949976975 || MIN COST: 34742.83378119497 || GAP: 309.2734239722408
MAP: att48 || SIGMA: 500 || ITERATION: 20 || AVG COST: 45273.50659395096 || MIN COST: 33268.40875533848 || GAP: 325.98331383092733
MAP: att48 || SIGMA: 500 || ITERATION: 30 || AVG COST: 40659.451290940415 || MIN COST: 33174.36295384399 || GAP: 282.5691690905195
MAP: att48 || SIGMA: 100 || ITERATION: 10 || AVG COST: 46312.58310194867 || MIN COST: 34537.243338561726 || GAP: 335.76009693214786
MAP: att48 || SIGMA: 100 || ITERATION: 20 || AVG COST: 41475.846012490954 || MIN COST: 32965.967267049986 || GAP: 290.250715209738
MAP: att48 || SIGMA: 100 || ITERATION: 30 || AVG COST: 42911.57508484807 || MIN COST: 33462.0662086241 || GAP: 303.7596451340616
===
MAP: st70 || SIGMA: 5000 || ITERATION: 10 || AVG COST: 783.8873670979372 || MIN COST: 671.2536635328172 || GAP: 16.131461792286984
MAP: st70 || SIGMA: 5000 || ITERATION: 20 || AVG COST: 866.7498442918783 || MIN COST: 694.730238151504 || GAP: 28.407384339537522
MAP: st70 || SIGMA: 5000 || ITERATION: 30 || AVG COST: 834.5934331505899 || MIN COST: 687.3311287383037 || GAP: 23.643471577865174
MAP: st70 || SIGMA: 1000 || ITERATION: 10 || AVG COST: 889.8245223539558 || MIN COST: 704.2380075939949 || GAP: 31.825855163549004
MAP: st70 || SIGMA: 1000 || ITERATION: 20 || AVG COST: 797.2671567375739 || MIN COST: 674.8169079425558 || GAP: 18.113652850010954
MAP: st70 || SIGMA: 1000 || ITERATION: 30 || AVG COST: 813.7136586956892 || MIN COST: 698.2272281462235 || GAP: 20.550171658620624
MAP: st70 || SIGMA: 500 || ITERATION: 10 || AVG COST: 794.509003842629 || MIN COST: 696.5641856091861 || GAP: 17.705037606315408
MAP: st70 || SIGMA: 500 || ITERATION: 20 || AVG COST: 865.7105241734919 || MIN COST: 694.0971506790413 || GAP: 28.25341098866546
MAP: st70 || SIGMA: 500 || ITERATION: 30 || AVG COST: 852.2303654504591 || MIN COST: 692.1981613932 || GAP: 26.256350437105052
MAP: st70 || SIGMA: 100 || ITERATION: 10 || AVG COST: 833.8085338539586 || MIN COST: 679.0353326802184 || GAP: 23.527190200586457
MAP: st70 || SIGMA: 100 || ITERATION: 20 || AVG COST: 879.3873464399514 || MIN COST: 706.3310937691823 || GAP: 30.279606879992805
MAP: st70 || SIGMA: 100 || ITERATION: 30 || AVG COST: 880.7544256012663 || MIN COST: 691.7872942234576 || GAP: 30.482137126113535
===
MAP: burma14 || SIGMA: 10000 || ITERATION: 30 || AVG COST: 33.3694776899297 || MIN COST: 27.046820763576626 || GAP: 0.41973424595156694
MAP: burma14 || SIGMA: 10000 || ITERATION: 20 || AVG COST: 33.135333840578475 || MIN COST: 27.90831969824902 || GAP: 0.28488161125946876
MAP: burma14 || SIGMA: 10000 || ITERATION: 10 || AVG COST: 33.40830785145786 || MIN COST: 30.877436517428198 || GAP: 0.536586973992977
MAP: burma14 || SIGMA: 5000 || ITERATION: 30 || AVG COST: 33.48877910771098 || MIN COST: 28.336419728823355 || GAP: 0.7787514526361288
MAP: burma14 || SIGMA: 5000 || ITERATION: 20 || AVG COST: 32.20613343904312 || MIN COST: 28.58724222095932 || GAP: 3.0811512517510553
MAP: burma14 || SIGMA: 5000 || ITERATION: 10 || AVG COST: 32.33640181072774 || MIN COST: 28.85368472755692 || GAP: 2.689130873524688
MAP: burma14 || SIGMA: 1000 || ITERATION: 30 || AVG COST: 33.390434447403635 || MIN COST: 28.480555755161486 || GAP: 0.48280002227998225
MAP: burma14 || SIGMA: 1000 || ITERATION: 20 || AVG COST: 33.43290267415939 || MIN COST: 26.7791193428698 || GAP: 0.6106008852223794
MAP: burma14 || SIGMA: 1000 || ITERATION: 10 || AVG COST: 34.78432028054555 || MIN COST: 29.7558928306989 || GAP: 4.677460970645663
MAP: burma14 || SIGMA: 500 || ITERATION: 30 || AVG COST: 32.066535461085614 || MIN COST: 28.485993739290294 || GAP: 3.501247483943373
MAP: burma14 || SIGMA: 500 || ITERATION: 20 || AVG COST: 32.405472383336935 || MIN COST: 27.863526364698508 || GAP: 2.481274801874998
MAP: burma14 || SIGMA: 500 || ITERATION: 10 || AVG COST: 32.579586463782896 || MIN COST: 29.468716291768946 || GAP: 1.9573082642705428
===
MAP: ulysses22 || SIGMA: 10000 || ITERATION: 30 || AVG COST: 79.54364535780297 || MIN COST: 58.912297841745094 || GAP: 13.423136115504034
MAP: ulysses22 || SIGMA: 10000 || ITERATION: 20 || AVG COST: 77.31994195517811 || MIN COST: 58.40156183503297 || GAP: 10.252305654039803
MAP: ulysses22 || SIGMA: 10000 || ITERATION: 10 || AVG COST: 81.0885485738748 || MIN COST: 55.16805981666316 || GAP: 15.62604958487781
MAP: ulysses22 || SIGMA: 5000 || ITERATION: 30 || AVG COST: 75.30524850975645 || MIN COST: 62.77520366863287 || GAP: 7.3795073574168795
MAP: ulysses22 || SIGMA: 5000 || ITERATION: 20 || AVG COST: 76.18339225287293 || MIN COST: 57.71901731630534 || GAP: 8.631672968591102
MAP: ulysses22 || SIGMA: 5000 || ITERATION: 10 || AVG COST: 75.27000475638415 || MIN COST: 59.9240002173953 || GAP: 7.329252468820988
MAP: ulysses22 || SIGMA: 1000 || ITERATION: 30 || AVG COST: 76.85562402113483 || MIN COST: 54.13735135077942 || GAP: 9.59022390009245
MAP: ulysses22 || SIGMA: 1000 || ITERATION: 20 || AVG COST: 79.69357152293932 || MIN COST: 63.06022094714732 || GAP: 13.636919325451771
